Username,LMS_Grade
78978785,33.33
78471915,30.33
78184949,32.67
78873848,31.67
78175569,22.67
78541225,38.0
78535392,25.67
78383567,20.67
78061615,39.0
78875982,28.0
78286515,36.67
78974411,24.67
78114621,30.67
78341572,35.33
78201566,23.33
78111948,16.67
78795472,25.67
78166676,21.0
78132688,33.0
78965279,38.33
78721585,37.0
78744401,28.67
78161682,37.0
78617816,32.0
78521435,41.33
78701156,37.33
78492751,20.67
78831466,31.0
78903184,20.0
78387827,38.67
78258237,25.67
78010714,17.0
78505195,26.0
78946569,22.0
78811541,30.0
78166169,30.67
78176913,30.0
78994819,33.67
78161259,29.0
78406126,22.33
78698643,28.0
78623969,35.33
78797233,30.33
78883156,36.0
78175686,39.11
78168727,27.0
78195429,38.0
78843742,25.0
78021526,28.67
78645121,26.67
78545745,19.33
78223499,34.11
78469934,39.0
78956198,29.67
78694834,43.67
78914292,34.33
78335669,34.0
78449841,31.0
78622522,13.67
78774771,33.0
78547947,30.67
78505311,18.67
78613697,34.0
78127311,32.67
78916281,32.33
78419719,33.67
78332633,31.67
78127812,23.33
78333556,26.33
78128275,24.0
78554111,28.67
78227652,35.0
78263138,26.67
78753838,40.67
78689556,31.67
78926743,40.67
78691731,42.33
78651127,24.67
78359432,22.0
78505113,18.33
78516051,23.0
78677339,36.67
78463114,31.11
78572711,22.0
78237231,42.67
78124723,17.33
78518893,37.33
78381377,31.0
78343818,16.67
78655336,23.0
78631328,35.0
78096915,31.33
78621571,34.0
78501348,23.67
78548327,30.0
78483115,32.67
78591114,23.0
78849535,36.33
78857233,31.0
